external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
173665,"Alcoholic beverage, liqueur, coffee, 63 proof",Sugars and Sweets,,Beverages,100,g,308.0,0.1,32.2,0.3,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173665/nutrients
174141,"Alcoholic beverage, malt beer, hard lemonade",Sugars and Sweets,,Beverages,100,g,68.0,0.0,10.1,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174141/nutrients
168750,"Alcoholic beverage, pina colada, canned",Sugars and Sweets,,Beverages,100,g,237.0,0.6,27.6,7.6,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168750/nutrients
168752,"Alcoholic beverage, pina colada, prepared-from-recipe",Sugars and Sweets,,Beverages,100,g,174.0,0.42,22.7,1.88,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168752/nutrients
167723,"Alcoholic beverage, rice (sake)",Sugars and Sweets,,Beverages,100,g,134.0,0.5,5.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167723/nutrients
168753,"Alcoholic beverage, tequila sunrise, canned",Sugars and Sweets,,Beverages,100,g,110.0,0.3,11.3,0.1,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168753/nutrients
173662,"Alcoholic beverage, whiskey sour",Sugars and Sweets,,Beverages,100,g,149.0,0.0,13.2,0.03,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173662/nutrients
174810,"Alcoholic beverage, whiskey sour, canned",Sugars and Sweets,,Beverages,100,g,119.0,0.0,13.4,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174810/nutrients
174812,"Alcoholic beverage, whiskey sour, prepared from item 14028",Sugars and Sweets,,Beverages,100,g,153.0,0.06,12.8,0.06,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174812/nutrients
173164,"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",Sugars and Sweets,,Beverages,100,g,164.0,0.1,15.8,0.02,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173164/nutrients
169070,"Alcoholic beverage, wine, cooking",Sugars and Sweets,,Beverages,100,g,50.0,0.5,6.3,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169070/nutrients
175112,"Alcoholic beverage, wine, dessert, dry",Sugars and Sweets,,Beverages,100,g,152.0,0.2,11.7,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175112/nutrients
173176,"Alcoholic beverage, wine, dessert, sweet",Sugars and Sweets,,Beverages,100,g,160.0,0.2,13.7,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173176/nutrients
169071,"Alcoholic beverage, wine, light",Sugars and Sweets,,Beverages,100,g,49.0,0.07,1.17,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169071/nutrients
173185,"Alcoholic beverage, wine, table, all",Sugars and Sweets,,Beverages,100,g,83.0,0.07,2.72,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173185/nutrients
173190,"Alcoholic beverage, wine, table, red",Sugars and Sweets,,Beverages,100,g,85.0,0.07,2.61,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173190/nutrients
173191,"Alcoholic Beverage, wine, table, red, Barbera",Sugars and Sweets,,Beverages,100,g,85.0,0.07,2.79,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173191/nutrients
