external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
226,"Vacuno, asado, fresco, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,170,18.4,0.03,10.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/226.htm
227,"Vacuno, bife, a la parrilla",Proteinas de origen animal,,Proteinas de origen animal,100,g,189,24.6,0,10.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/227.htm
228,"Vacuno, caracú (médula de hueso largo), crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,785,0.5,0,87,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/228.htm
229,"Vacuno, cuadril y bife angosto flaco, fresco, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,111,21,0,3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/229.htm
23,"Trigo, galleta marinera",Cereales y tuberculos,,Cereales y tuberculos,100,g,361,12.8,75.9,0.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/23.htm
230,"Vacuno, en conserva, enlatado",Proteinas de origen animal,,Proteinas de origen animal,100,g,224,23.7,0,14.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/230.htm
231,"Vacuno, hígado, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,132,19.7,6,3.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/231.htm
232,"Vacuno, jugo de carne",Proteinas de origen animal,,Proteinas de origen animal,100,g,33,6.8,0.1,0.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/232.htm
233,"Vacuno, lomo, fresco, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,116,20,0,4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/233.htm
234,"Vacuno, nalga, fresco, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,97,21.2,0,1.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/234.htm
235,"Vacuno, pasta de hígado",Proteinas de origen animal,,Proteinas de origen animal,100,g,335,14,0,31,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/235.htm
236,"Vacuno, riñon, fresco, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,137,15,0.9,8.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/236.htm
237,"Vacuno, ternera, costilla flaca, a la parrilla",Proteinas de origen animal,,Proteinas de origen animal,100,g,139,27.2,0,3.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/237.htm
238,"Vacuno, ternera, costilla flaca, fresco, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,95,20,0,1.7,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/238.htm
239,"Vacuno, vacío flaco, fresco, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,171,23.8,0.05,8.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/239.htm
24,"Trigo, galletitas de agua ""Express""",Cereales y tuberculos,,Cereales y tuberculos,100,g,442,13.5,62,15.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/24.htm
240,"Vacuno, vacío, a la parrilla",Proteinas de origen animal,,Proteinas de origen animal,100,g,258,25.6,0,17.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/240.htm
241,"Vacuno, vacío, al horno",Proteinas de origen animal,,Proteinas de origen animal,100,g,241,28.1,0,14.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/241.htm
242,"Bife, cocido",Proteinas de origen animal,,Proteinas de origen animal,100,g,233,36,0.1,9.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/242.htm
243,"Bife, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,120,20.7,4.3,2.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/243.htm
