external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
1019,"Café, en grano o molido, descafeinado",Cereales y tuberculos,,Bebidas (no lácteas),100,g,301.96,10.4,30.4,15.4,https://www.bedca.net/bdpub/index.php
1109,"Café, en polvo, sin reconstituir",Cereales y tuberculos,,Bebidas (no lácteas),100,g,110.33,18.5,8.0,0.3,https://www.bedca.net/bdpub/index.php
2433,"Café, infusión",Cereales y tuberculos,,Bebidas (no lácteas),100,g,2.08,0.12,0.0,0.18,https://www.bedca.net/bdpub/index.php
2434,"Café, infusión, descafeinado",Cereales y tuberculos,,Bebidas (no lácteas),100,g,2.08,0.12,0.0,0.18,https://www.bedca.net/bdpub/index.php
2435,"Café, sucedáneo, soluble",Cereales y tuberculos,,Bebidas (no lácteas),100,g,408.75,12.3,80.9,3.4,https://www.bedca.net/bdpub/index.php
2376,Calabacín,Verduras,,"Verduras, hortalizas y derivados",100,g,17.21,1.8,2.0,0.2,https://www.bedca.net/bdpub/index.php
2377,"Calabacín, asado",Verduras,,"Verduras, hortalizas y derivados",100,g,17.75,1.76,1.76,0.39,https://www.bedca.net/bdpub/index.php
2378,"Calabaza, cruda",Verduras,,"Verduras, hortalizas y derivados",100,g,32.05,1.2,5.6,0.5,https://www.bedca.net/bdpub/index.php
1183,"Calabaza, hervida",Verduras,,"Verduras, hortalizas y derivados",100,g,12.3,0.6,2.1,0.15,https://www.bedca.net/bdpub/index.php
2320,"Calamar, asado",Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,80.89,16.58,0.5,1.3,https://www.bedca.net/bdpub/index.php
1164,"Calamar, conserva",Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,88.79,17.0,0.5,2.0,https://www.bedca.net/bdpub/index.php
807,"Calamar, crudo",Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,71.49,14.0,1.09,1.47,https://www.bedca.net/bdpub/index.php
2323,Calamares en aceite vegetal,Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,215.89,22.5,0.6,13.8,https://www.bedca.net/bdpub/index.php
792,Caldo vegetal,Cereales y tuberculos,,Miscelánea,100,g,104.11,11.3,9.1,2.4,https://www.bedca.net/bdpub/index.php
687,Callos de ternera,Cereales y tuberculos,,Cárnicos y derivados,100,g,94.69,14.56,0.0,3.95,https://www.bedca.net/bdpub/index.php
2321,Camarón,Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,82.91,17.6,1.5,0.6,https://www.bedca.net/bdpub/index.php
2477,"Canela, en polvo",Cereales y tuberculos,,Miscelánea,100,g,371.59,3.9,80.59,3.2,https://www.bedca.net/bdpub/index.php
2478,Canelones,Cereales y tuberculos,,Miscelánea,100,g,191.04,11.2,9.7,12.0,https://www.bedca.net/bdpub/index.php
2325,Cangrejo de río crudo,Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,124.33,19.5,0.0,5.1,https://www.bedca.net/bdpub/index.php
810,"Cangrejo, en conserva",Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,98.38,19.7,1.0,1.61,https://www.bedca.net/bdpub/index.php
2379,Canonigos,Verduras,,"Verduras, hortalizas y derivados",100,g,13.7,1.8,0.7,0.4,https://www.bedca.net/bdpub/index.php
2213,Caqui,Frutas,,Frutas y derivados,100,g,66.78,0.7,15.3,0.2,https://www.bedca.net/bdpub/index.php
2326,Caracol,Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,85.92,16.1,2.0,1.4,https://www.bedca.net/bdpub/index.php
2380,Cardo,Verduras,,"Verduras, hortalizas y derivados",100,g,21.68,1.4,3.5,0.2,https://www.bedca.net/bdpub/index.php
2327,"Cardo, tallo, en conserva",Verduras,,"Verduras, hortalizas y derivados",100,g,13.81,0.76,2.4,0.11,https://www.bedca.net/bdpub/index.php
2680,Carne picada,Proteinas de origen animal,,Cárnicos y derivados,100,g,243.13,15.22,0.0,20.5,https://www.bedca.net/bdpub/index.php
811,"Carpa, al horno",Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,148.58,20.4,0.0,7.43,https://www.bedca.net/bdpub/index.php
812,"Carpa, cruda",Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,115.89,17.75,0.0,4.95,https://www.bedca.net/bdpub/index.php
2187,"Castaña, cruda",Legumbres,,"Legumbres, semillas, frutos secos y derivados",100,g,178.53,2.65,36.5,2.52,https://www.bedca.net/bdpub/index.php
935,"Castaña, tostada",Legumbres,,"Legumbres, semillas, frutos secos y derivados",100,g,224.43,4.0,39.7,5.3,https://www.bedca.net/bdpub/index.php
2436,Cava,Cereales y tuberculos,,Bebidas (no lácteas),100,g,69.98,0.2,1.5,0.0,https://www.bedca.net/bdpub/index.php
2338,Caviar,Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,274.5,24.6,4.0,17.9,https://www.bedca.net/bdpub/index.php
1014,"Cebada, cruda",Cereales y tuberculos,,Cereales y derivados,100,g,321.68,10.6,64.0,2.1,https://www.bedca.net/bdpub/index.php
2382,"Cebolla, asada",Verduras,,"Verduras, hortalizas y derivados",100,g,37.97,1.17,7.74,0.2,https://www.bedca.net/bdpub/index.php
2383,"Cebolla, hervida",Verduras,,"Verduras, hortalizas y derivados",100,g,18.36,0.6,3.7,0.1,https://www.bedca.net/bdpub/index.php
850,"Cebollino, crudo",Verduras,,"Verduras, hortalizas y derivados",100,g,24.55,3.0,1.9,0.53,https://www.bedca.net/bdpub/index.php
2256,Cecina,Cereales y tuberculos,,Cárnicos y derivados,100,g,242.47,39.0,0.0,9.5,https://www.bedca.net/bdpub/index.php
1187,"Centeno, crudo",Cereales y tuberculos,,Cereales y derivados,100,g,406.48,14.8,79.8,2.5,https://www.bedca.net/bdpub/index.php
2328,"Centollo, crudo",Proteinas de origen animal,,"Pescados, moluscos, reptiles, crustáceos y derivados",100,g,127.65,20.1,0.0,5.2,https://www.bedca.net/bdpub/index.php
